task_id,task_order,task_type,task_status,title,session_id,source_id,entity_id,item_count,field_check_count,priority_reason,primary_input,secondary_input,suggested_command,write_command,needs_llm,generated_by
task_session_review_session_001,1,review_session,no_pending_items,复核 review_session_001,review_session_001,,field_aggregator,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_001.md,review_inputs/human_review_session_decision_templates/review_session_001_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_001,python3 scripts/import_human_review_session_decisions.py --session-id review_session_001 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_002,2,review_session,no_pending_items,复核 review_session_002,review_session_002,,field_bgp_identifier,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_002.md,review_inputs/human_review_session_decision_templates/review_session_002_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_002,python3 scripts/import_human_review_session_decisions.py --session-id review_session_002 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_003,3,review_session,no_pending_items,复核 review_session_003,review_session_003,,field_nlri,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_003.md,review_inputs/human_review_session_decision_templates/review_session_003_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_003,python3 scripts/import_human_review_session_decisions.py --session-id review_session_003 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_004,4,review_session,no_pending_items,复核 review_session_004,review_session_004,,field_vrp_asn,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_004.md,review_inputs/human_review_session_decision_templates/review_session_004_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_004,python3 scripts/import_human_review_session_decisions.py --session-id review_session_004 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_005,5,review_session,no_pending_items,复核 review_session_005,review_session_005,,evidence_prefix_outage,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_005.md,review_inputs/human_review_session_decision_templates/review_session_005_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_005,python3 scripts/import_human_review_session_decisions.py --session-id review_session_005 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_006,6,review_session,no_pending_items,复核 review_session_006,review_session_006,,concept_asn,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_006.md,review_inputs/human_review_session_decision_templates/review_session_006_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_006,python3 scripts/import_human_review_session_decisions.py --session-id review_session_006 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_007,7,review_session,no_pending_items,复核 review_session_007,review_session_007,,datasource_caida_as_relationships,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_007.md,review_inputs/human_review_session_decision_templates/review_session_007_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_007,python3 scripts/import_human_review_session_decisions.py --session-id review_session_007 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_008,8,review_session,no_pending_items,复核 review_session_008,review_session_008,,paper_method_beam,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_008.md,review_inputs/human_review_session_decision_templates/review_session_008_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_008,python3 scripts/import_human_review_session_decisions.py --session-id review_session_008 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_009,9,review_session,no_pending_items,复核 review_session_009,review_session_009,,anomaly_path_manipulation,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_009.md,review_inputs/human_review_session_decision_templates/review_session_009_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_009,python3 scripts/import_human_review_session_decisions.py --session-id review_session_009 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_010,10,review_session,no_pending_items,复核 review_session_010,review_session_010,,datasource_ripe_ris,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_010.md,review_inputs/human_review_session_decision_templates/review_session_010_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_010,python3 scripts/import_human_review_session_decisions.py --session-id review_session_010 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_011,11,review_session,no_pending_items,复核 review_session_011,review_session_011,,datasource_rpki_roa,10,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_011.md,review_inputs/human_review_session_decision_templates/review_session_011_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_011,python3 scripts/import_human_review_session_decisions.py --session-id review_session_011 --write,False,scripts/build_human_review_task_board.py
task_session_review_session_012,12,review_session,no_pending_items,复核 review_session_012,review_session_012,,concept_whois_rdap,2,0,按 session_order 小批次推进人工复核。,reports/human_review_session_guides/review_session_012.md,review_inputs/human_review_session_decision_templates/review_session_012_decisions_template.csv,python3 scripts/import_human_review_session_decisions.py --session-id review_session_012,python3 scripts/import_human_review_session_decisions.py --session-id review_session_012 --write,False,scripts/build_human_review_task_board.py
task_source_rfc4271,13,review_source,pending,按来源复核 rfc4271,review_session_001|review_session_002|review_session_003|review_session_004|review_session_005|review_session_006|review_session_007|review_session_008|review_session_009|review_session_011|review_session_012,rfc4271,anomaly_path_hijack|anomaly_path_manipulation|anomaly_prefix_hijack|anomaly_prefix_outage|concept_announcement,43,316,该来源复用度较高，先核验可减少后续实体级确认成本。,reports/human_review_source_matrix_report.md,raw/standards/rfc4271.txt,python3 scripts/build_human_review_source_matrix.py,,False,scripts/build_human_review_task_board.py
task_source_rfc6811,14,review_source,pending,按来源复核 rfc6811,review_session_004|review_session_005|review_session_008|review_session_009|review_session_010|review_session_011,rfc6811,anomaly_moas|anomaly_origin_change|anomaly_prefix_hijack|anomaly_subprefix_hijack|concept_moas,22,160,该来源复用度较高，先核验可减少后续实体级确认成本。,reports/human_review_source_matrix_report.md,raw/standards/rfc6811.txt,python3 scripts/build_human_review_source_matrix.py,,False,scripts/build_human_review_task_board.py
task_source_ripe_ris_docs,15,review_source,pending,按来源复核 ripe_ris_docs,review_session_003|review_session_006|review_session_007|review_session_008|review_session_009|review_session_010|review_session_011,ripe_ris_docs,concept_bgp_session|concept_mrt|concept_peer|concept_ripe_ris|concept_route_collector,12,89,该来源复用度较高，先核验可减少后续实体级确认成本。,reports/human_review_source_matrix_report.md,raw/data_docs/ripe_ris_docs.html,python3 scripts/build_human_review_source_matrix.py,,False,scripts/build_human_review_task_board.py
task_source_caida_as_relationships,16,review_source,pending,按来源复核 caida_as_relationships,review_session_001|review_session_002|review_session_005|review_session_007|review_session_011,caida_as_relationships,concept_as_relationship|concept_customer_cone|concept_valley_free|datasource_caida_as_relationships|datasource_caida_asrank,10,75,该来源复用度较高，先核验可减少后续实体级确认成本。,reports/human_review_source_matrix_report.md,raw/data_docs/caida_as_relationships.html,python3 scripts/build_human_review_source_matrix.py,,False,scripts/build_human_review_task_board.py
