workbook_id,review_order,review_batch,priority,entity_id,entity_type,display_name,review_status,review_bucket,review_decision,source_refs,source_paths,parsed_paths,cleaned_paths,chunk_sample_ids,related_packet_id,related_action_id,needs_llm,llm_skip_reason,decision_instructions,generated_by
review_workbook_field_aggregator,1,01_ready_without_manual_note,3,field_aggregator,DataField,aggregator,approved,ready_without_manual_note,unreviewed,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s021_2_002|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002,packet_field_aggregator,action_entity_review_field_aggregator,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_datasource_aspa,2,01_ready_without_manual_note,3,datasource_aspa,DataSource,ASPA,approved,ready_without_manual_note,unreviewed,arin_aspa_doc|ripe_aspa_doc|rfc6480,raw/data_docs/arin_aspa_doc.html|raw/data_docs/ripe_aspa_doc.html|raw/standards/rfc6480.txt,parsed/data_docs/arin_aspa_doc.json|parsed/data_docs/ripe_aspa_doc.json|parsed/standards/rfc6480.json,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md|cleaned/standards/rfc6480.md,arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_003|arin_aspa_doc_s001_full_004|arin_aspa_doc_s001_full_005|rfc6480_s002_1_001|rfc6480_s002_1_002|rfc6480_s002_1_003|rfc6480_s003_1_1_001|rfc6480_s004_2_001|rfc6480_s004_2_002|rfc6480_s005_2_1_001,packet_datasource_aspa,action_entity_review_datasource_aspa,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_mechanism_aspa_path_verification,3,01_ready_without_manual_note,3,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,approved,ready_without_manual_note,unreviewed,arin_aspa_doc|ripe_aspa_doc,raw/data_docs/arin_aspa_doc.html|raw/data_docs/ripe_aspa_doc.html,parsed/data_docs/arin_aspa_doc.json|parsed/data_docs/ripe_aspa_doc.json,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md,arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_004|arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_003|arin_aspa_doc_s001_full_005|ripe_aspa_doc_s001_full_007|ripe_aspa_doc_s001_full_008|ripe_aspa_doc_s001_full_010|ripe_aspa_doc_s001_full_009|ripe_aspa_doc_s001_full_001|ripe_aspa_doc_s001_full_006|ripe_aspa_doc_s001_full_002,packet_mechanism_aspa_path_verification,action_entity_review_mechanism_aspa_path_verification,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_field_asrank_rank,4,01_ready_without_manual_note,3,field_asrank_rank,DataField,asrank_rank,approved,ready_without_manual_note,unreviewed,caida_asrank_api,raw/data_docs/caida_asrank_api.html,parsed/data_docs/caida_asrank_api.json,cleaned/data_docs/caida_asrank_api.md,caida_asrank_api_s001_full_002|caida_asrank_api_s001_full_001|caida_asrank_api_s001_full_005|caida_asrank_api_s001_full_006|caida_asrank_api_s001_full_003|caida_asrank_api_s001_full_004|caida_asrank_api_s001_full_007,packet_field_asrank_rank,action_entity_review_field_asrank_rank,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_field_asrank_relationship,5,01_ready_without_manual_note,3,field_asrank_relationship,DataField,asrank_relationship,approved,ready_without_manual_note,unreviewed,caida_asrank_api|caida_as_relationships,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,parsed/data_docs/caida_as_relationships.json|parsed/data_docs/caida_asrank_api.json,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_002|caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_001|caida_as_relationships_s001_full_003|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_006|caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_009|caida_as_relationships_s001_full_010|caida_as_relationships_s001_full_012,packet_field_asrank_relationship,action_entity_review_field_asrank_relationship,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_field_atomic_aggregate,6,01_ready_without_manual_note,3,field_atomic_aggregate,DataField,atomic_aggregate,approved,ready_without_manual_note,unreviewed,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s033_5_1_6_001|rfc4271_s066_9_1_4_002|rfc4271_s073_9_2_2_2_003|rfc4271_s076_10_002|rfc4271_s081_6_008|rfc4271_s021_2_002|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001,packet_field_atomic_aggregate,action_entity_review_field_atomic_aggregate,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_mechanism_bgp_decision_process,7,01_ready_without_manual_note,3,mechanism_bgp_decision_process,RoutingMechanism,BGP Decision Process,approved,ready_without_manual_note,unreviewed,rfc4271,raw/standards/rfc4271.txt,parsed/standards/rfc4271.json,cleaned/standards/rfc4271.md,rfc4271_s060_9_1_001|rfc4271_s031_5_1_4_001|rfc4271_s021_2_001|rfc4271_s062_9_1_2_001|rfc4271_s073_9_2_2_2_001|rfc4271_s006_1_1_002|rfc4271_s011_3_2_001|rfc4271_s061_9_1_1_001|rfc4271_s063_9_1_2_1_001|rfc4271_s064_9_1_2_2_003|rfc4271_s065_9_1_3_001|rfc4271_s066_9_1_4_001,packet_mechanism_bgp_decision_process,action_entity_review_mechanism_bgp_decision_process,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_mechanism_rib_model,8,01_ready_without_manual_note,3,mechanism_rib_model,RoutingMechanism,BGP RIB Model,approved,ready_without_manual_note,unreviewed,rfc4271|ripe_ris_raw_data|routeviews_archive_index,raw/data_docs/ripe_ris_raw_data.html|raw/data_docs/routeviews_archive_index.html|raw/standards/rfc4271.txt,parsed/data_docs/ripe_ris_raw_data.json|parsed/data_docs/routeviews_archive_index.json|parsed/standards/rfc4271.json,cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/routeviews_archive_index.md|cleaned/standards/rfc4271.md,rfc4271_s009_3_003|rfc4271_s010_3_1_001|rfc4271_s011_3_2_001|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010|rfc4271_s081_6_003|rfc4271_s081_6_006|rfc4271_s026_4_002|rfc4271_s031_5_1_4_001|rfc4271_s073_9_2_2_2_002|rfc4271_s006_1_1_001|rfc4271_s006_1_1_002,packet_mechanism_rib_model,action_entity_review_mechanism_rib_model,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_mechanism_route_leak_roles_otc,9,01_ready_without_manual_note,3,mechanism_route_leak_roles_otc,RoutingMechanism,BGP Roles and OTC Route Leak Prevention,approved,ready_without_manual_note,unreviewed,rfc9234,raw/standards/rfc9234.txt,parsed/standards/rfc9234.json,cleaned/standards/rfc9234.md,rfc9234_s018_8_001|rfc9234_s016_6_001|rfc9234_s008_4_2_002|rfc9234_s014_2_001|rfc9234_s015_4_001|rfc9234_s002_1_001|rfc9234_s005_3_1_001|rfc9234_s005_3_1_002|rfc9234_s006_4_001|rfc9234_s008_4_2_001|rfc9234_s009_5_001|rfc9234_s002_1_002,packet_mechanism_route_leak_roles_otc,action_entity_review_mechanism_route_leak_roles_otc,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
review_workbook_mechanism_update_withdrawal,10,01_ready_without_manual_note,3,mechanism_update_withdrawal,RoutingMechanism,BGP Update and Withdrawal Propagation,approved,ready_without_manual_note,unreviewed,rfc4271|ripe_ris_raw_data|bgpstream_docs,raw/data_docs/ripe_ris_raw_data.html|raw/standards/rfc4271.txt|raw/tools_docs/bgpstream_docs.html,parsed/data_docs/bgpstream_docs.json|parsed/data_docs/ripe_ris_raw_data.json|parsed/standards/rfc4271.json,cleaned/data_docs/bgpstream_docs.md|cleaned/data_docs/ripe_ris_raw_data.md|cleaned/standards/rfc4271.md,bgpstream_docs_s001_full_001|rfc4271_s010_3_1_001|rfc4271_s059_9_001|rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s009_3_003|rfc4271_s026_4_002|rfc4271_s069_9_2_1_1_001|rfc4271_s031_5_1_4_001|rfc4271_s022_4_4_001|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010,packet_mechanism_update_withdrawal,action_entity_review_mechanism_update_withdrawal,False,不需要 LLM；本记录只做人工来源复核入口。,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。,scripts/build_human_review_workbook.py
