entity_id,review_decision,reviewer,reviewed_at,decision_note
concept_bgp,approved,Claude,2026-06-18T14:00:00Z,"BGP定义准确，与RFC4271一致，source_refs合理"
concept_as,approved,Claude,2026-06-18T14:00:00Z,"AS定义准确，与RFC4271一致，source_refs合理"
concept_asn,approved,Claude,2026-06-18T14:00:00Z,"ASN定义准确，与RFC4271一致"
concept_prefix,approved,Claude,2026-06-18T14:00:00Z,"Prefix定义准确，CIDR表示法描述正确"
concept_origin_as,approved,Claude,2026-06-18T14:00:00Z,"Origin AS定义准确，特别说明了AS_PATH最右侧AS的规则"
concept_as_path,approved,Claude,2026-06-18T14:00:00Z,"AS_PATH定义准确，common_misunderstandings强调非traceroute路径，非常重要"
concept_bgp_speaker,approved,Claude,2026-06-18T14:00:00Z,"BGP Speaker定义准确，与RFC4271一致"
concept_bgp_session,approved,Claude,2026-06-18T14:00:00Z,"BGP Session定义准确，含collector视角说明"
concept_ebgp,approved,Claude,2026-06-18T14:00:00Z,"eBGP定义准确简洁"
concept_ibgp,approved,Claude,2026-06-18T14:00:00Z,"iBGP定义准确，区分了iBGP与IGP"
concept_rib,approved,Claude,2026-06-18T14:00:00Z,"RIB定义准确，强调snapshot非连续流"
concept_fib,approved,Claude,2026-06-18T14:00:00Z,"FIB定义准确，区分了控制平面RIB与转发平面FIB"
concept_bgp_update,approved,Claude,2026-06-18T14:00:00Z,"BGP Update定义准确，含collector和peer覆盖说明"
concept_announcement,approved,Claude,2026-06-18T14:00:00Z,"Announcement定义准确，强调announcement不证明origin授权"
concept_withdrawal,approved,Claude,2026-06-18T14:00:00Z,"Withdrawal定义准确，强调单peer观察不等于全局outage"
concept_mrt,approved,Claude,2026-06-18T14:00:00Z,"MRT定义准确，正确区分了存储格式与数据源"
concept_route_collector,approved,Claude,2026-06-18T14:00:00Z,"Route Collector定义准确，强调部分观测性"
concept_vantage_point,approved,Claude,2026-06-18T14:00:00Z,"Vantage Point定义准确，局部异常可能全局不可见"
concept_peer,approved,Claude,2026-06-18T14:00:00Z,"Peer定义准确，collector peer作为观测源的说明正确"
concept_routeviews,approved,Claude,2026-06-18T14:00:00Z,"RouteViews定义准确，source_refs合理"
concept_ripe_ris,approved,Claude,2026-06-18T14:00:00Z,"RIPE RIS定义准确，source_refs合理"
concept_bgpstream,approved,Claude,2026-06-18T14:00:00Z,"BGPStream定义准确，正确区分了框架与底层数据源"
concept_rpki,approved,Claude,2026-06-18T14:00:00Z,"RPKI定义准确，强调不验证完整AS_PATH"
concept_roa,approved,Claude,2026-06-18T14:00:00Z,"ROA定义准确，含maxLength说明和stale ROA警告"
concept_rov,approved,Claude,2026-06-18T14:00:00Z,"ROV定义准确，正确限定为origin validation而非path validation"
concept_irr,approved,Claude,2026-06-18T14:00:00Z,"IRR定义准确，数据质量差异说明很重要"
concept_whois_rdap,approved,Claude,2026-06-18T14:00:00Z,"WHOIS/RDAP定义准确，区分了注册信息与操作路由意图"
concept_as_relationship,approved,Claude,2026-06-18T14:00:00Z,"AS Relationship定义准确，推断关系可能错误的警告很关键"
concept_customer_cone,approved,Claude,2026-06-18T14:00:00Z,"Customer Cone定义准确，source_refs合理"
concept_valley_free,approved,Claude,2026-06-18T14:00:00Z,"Valley-free定义准确，违反不一定恶意的说明合理"
concept_moas,approved,Claude,2026-06-18T14:00:00Z,"MOAS定义准确，强调MOAS是信号而非自动等于劫持"
anomaly_prefix_hijack,approved,Claude,2026-06-18T14:00:00Z,"Prefix Hijack定义准确，required_evidence详尽，false_positive_checks覆盖关键场景"
anomaly_subprefix_hijack,approved,Claude,2026-06-18T14:00:00Z,"Subprefix Hijack定义准确，最长前缀匹配机制说明正确"
anomaly_path_hijack,approved,Claude,2026-06-18T14:00:00Z,"Path Hijack定义准确，origin可能不变但路径语义改变的场景覆盖到位"
anomaly_route_leak,approved,Claude,2026-06-18T14:00:00Z,"Route Leak定义准确，valley-free violation作为核心信号，与RFC7908/RFC9234一致"
anomaly_moas,approved,Claude,2026-06-18T14:00:00Z,"MOAS异常定义准确，区分了良性/异常MOAS"
anomaly_origin_change,approved,Claude,2026-06-18T14:00:00Z,"Origin Change定义准确，强调需授权检查而非自动标记为攻击"
anomaly_path_manipulation,approved,Claude,2026-06-18T14:00:00Z,"Path Manipulation定义准确，false_positive含BGP confederation和route server"
anomaly_prefix_outage,approved,Claude,2026-06-18T14:00:00Z,"Prefix Outage定义准确，8项required_evidence非常全面"
mechanism_path_vector,approved,Claude,2026-06-18T14:00:00Z,"Path-vector routing定义准确，与RFC4271一致"
mechanism_as_path_prepending,approved,Claude,2026-06-18T14:00:00Z,"AS_PATH Prepending定义准确，流量工程用途说明正确"
