preview_id,record_type,run_mode,entity_id,entity_file,from_status,to_status,application_status,can_apply,needs_llm,count,message,generated_by
apply_preview_summary,summary,dry_run,,,,,summary,False,False,107,可应用决策数：107；将更新实体数：0。,scripts/apply_human_review_decisions.py
apply_preview_skipped_blocked_by_llm,skipped_status,dry_run,,,,,blocked_by_llm,False,True,1,审计状态 `blocked_by_llm` 未被应用。,scripts/apply_human_review_decisions.py
apply_preview_skipped_manual_followup,skipped_status,dry_run,,,,,manual_followup,False,False,4,审计状态 `manual_followup` 未被应用。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00001,unchanged_entity,dry_run,anomaly_prefix_hijack,,,,ready_to_apply,True,False,1,anomaly_prefix_hijack 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00002,unchanged_entity,dry_run,anomaly_subprefix_hijack,,,,ready_to_apply,True,False,1,anomaly_subprefix_hijack 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00003,unchanged_entity,dry_run,anomaly_path_hijack,,,,ready_to_apply,True,False,1,anomaly_path_hijack 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00004,unchanged_entity,dry_run,anomaly_route_leak,,,,ready_to_apply,True,False,1,anomaly_route_leak 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00005,unchanged_entity,dry_run,anomaly_moas,,,,ready_to_apply,True,False,1,anomaly_moas 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00006,unchanged_entity,dry_run,anomaly_origin_change,,,,ready_to_apply,True,False,1,anomaly_origin_change 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00007,unchanged_entity,dry_run,anomaly_path_manipulation,,,,ready_to_apply,True,False,1,anomaly_path_manipulation 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00008,unchanged_entity,dry_run,anomaly_prefix_outage,,,,ready_to_apply,True,False,1,anomaly_prefix_outage 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00009,unchanged_entity,dry_run,concept_bgp,,,,ready_to_apply,True,False,1,concept_bgp 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00010,unchanged_entity,dry_run,concept_as,,,,ready_to_apply,True,False,1,concept_as 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00011,unchanged_entity,dry_run,concept_asn,,,,ready_to_apply,True,False,1,concept_asn 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00012,unchanged_entity,dry_run,concept_prefix,,,,ready_to_apply,True,False,1,concept_prefix 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00013,unchanged_entity,dry_run,concept_origin_as,,,,ready_to_apply,True,False,1,concept_origin_as 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00014,unchanged_entity,dry_run,concept_as_path,,,,ready_to_apply,True,False,1,concept_as_path 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00015,unchanged_entity,dry_run,concept_bgp_speaker,,,,ready_to_apply,True,False,1,concept_bgp_speaker 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00016,unchanged_entity,dry_run,concept_bgp_session,,,,ready_to_apply,True,False,1,concept_bgp_session 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00017,unchanged_entity,dry_run,concept_ebgp,,,,ready_to_apply,True,False,1,concept_ebgp 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00018,unchanged_entity,dry_run,concept_ibgp,,,,ready_to_apply,True,False,1,concept_ibgp 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00019,unchanged_entity,dry_run,concept_rib,,,,ready_to_apply,True,False,1,concept_rib 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00020,unchanged_entity,dry_run,concept_fib,,,,ready_to_apply,True,False,1,concept_fib 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00021,unchanged_entity,dry_run,concept_bgp_update,,,,ready_to_apply,True,False,1,concept_bgp_update 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00022,unchanged_entity,dry_run,concept_announcement,,,,ready_to_apply,True,False,1,concept_announcement 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00023,unchanged_entity,dry_run,concept_withdrawal,,,,ready_to_apply,True,False,1,concept_withdrawal 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00024,unchanged_entity,dry_run,concept_mrt,,,,ready_to_apply,True,False,1,concept_mrt 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00025,unchanged_entity,dry_run,concept_route_collector,,,,ready_to_apply,True,False,1,concept_route_collector 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00026,unchanged_entity,dry_run,concept_vantage_point,,,,ready_to_apply,True,False,1,concept_vantage_point 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00027,unchanged_entity,dry_run,concept_peer,,,,ready_to_apply,True,False,1,concept_peer 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00028,unchanged_entity,dry_run,concept_routeviews,,,,ready_to_apply,True,False,1,concept_routeviews 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00029,unchanged_entity,dry_run,concept_ripe_ris,,,,ready_to_apply,True,False,1,concept_ripe_ris 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00030,unchanged_entity,dry_run,concept_bgpstream,,,,ready_to_apply,True,False,1,concept_bgpstream 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00031,unchanged_entity,dry_run,concept_rpki,,,,ready_to_apply,True,False,1,concept_rpki 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00032,unchanged_entity,dry_run,concept_roa,,,,ready_to_apply,True,False,1,concept_roa 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00033,unchanged_entity,dry_run,concept_rov,,,,ready_to_apply,True,False,1,concept_rov 已是目标状态。,scripts/apply_human_review_decisions.py
apply_preview_unchanged_00034,unchanged_entity,dry_run,concept_irr,,,,ready_to_apply,True,False,1,concept_irr 已是目标状态。,scripts/apply_human_review_decisions.py
