session_item_id,session_id,session_order,within_session_order,global_review_order,entity_id,entity_type,display_name,review_batch,review_bucket,review_status,review_decision,application_status,queue_status,source_refs,cleaned_paths,parsed_paths,top_extract_ids,top_chunk_ids,top_match_scores,decision_input_path,next_step,needs_llm,generated_by
review_session_item_0001,review_session_001,1,1,1,field_aggregator,DataField,aggregator,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_aggregator_01|extract_field_aggregator_02|extract_field_aggregator_03,rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s021_2_002,12|12|10,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0002,review_session_001,1,2,2,datasource_aspa,DataSource,ASPA,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,arin_aspa_doc|ripe_aspa_doc|rfc6480,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md|cleaned/standards/rfc6480.md,parsed/data_docs/arin_aspa_doc.json|parsed/data_docs/ripe_aspa_doc.json|parsed/standards/rfc6480.json,extract_datasource_aspa_01|extract_datasource_aspa_02|extract_datasource_aspa_03,arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_004,13|9|9,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0003,review_session_001,1,3,3,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,arin_aspa_doc|ripe_aspa_doc,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md,parsed/data_docs/arin_aspa_doc.json|parsed/data_docs/ripe_aspa_doc.json,extract_mechanism_aspa_path_verification_01|extract_mechanism_aspa_path_verification_02|extract_mechanism_aspa_path_verification_03,ripe_aspa_doc_s001_full_007|ripe_aspa_doc_s001_full_008|ripe_aspa_doc_s001_full_009,14|11|11,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0004,review_session_001,1,4,4,field_asrank_rank,DataField,asrank_rank,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,caida_asrank_api,cleaned/data_docs/caida_asrank_api.md,parsed/data_docs/caida_asrank_api.json,extract_field_asrank_rank_01|extract_field_asrank_rank_02|extract_field_asrank_rank_03,caida_asrank_api_s001_full_001|caida_asrank_api_s001_full_002|caida_asrank_api_s001_full_005,12|6|6,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0005,review_session_001,1,5,5,field_asrank_relationship,DataField,asrank_relationship,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,caida_asrank_api|caida_as_relationships,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,parsed/data_docs/caida_as_relationships.json|parsed/data_docs/caida_asrank_api.json,extract_field_asrank_relationship_01|extract_field_asrank_relationship_02|extract_field_asrank_relationship_03,caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_005,9|8|7,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0006,review_session_001,1,6,6,field_atomic_aggregate,DataField,atomic_aggregate,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_atomic_aggregate_01|extract_field_atomic_aggregate_02|extract_field_atomic_aggregate_03,rfc4271_s073_9_2_2_2_003|rfc4271_s026_4_002|rfc4271_s033_5_1_6_001,9|8|8,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0007,review_session_001,1,7,7,mechanism_bgp_decision_process,RoutingMechanism,BGP Decision Process,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,rfc4271,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_mechanism_bgp_decision_process_01|extract_mechanism_bgp_decision_process_02|extract_mechanism_bgp_decision_process_03,rfc4271_s060_9_1_001|rfc4271_s011_3_2_001|rfc4271_s062_9_1_2_001,13|11|10,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0008,review_session_001,1,8,8,mechanism_rib_model,RoutingMechanism,BGP RIB Model,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,rfc4271|ripe_ris_raw_data|routeviews_archive_index,cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/routeviews_archive_index.md|cleaned/standards/rfc4271.md,parsed/data_docs/ripe_ris_raw_data.json|parsed/data_docs/routeviews_archive_index.json|parsed/standards/rfc4271.json,extract_mechanism_rib_model_01|extract_mechanism_rib_model_02|extract_mechanism_rib_model_03,rfc4271_s011_3_2_001|rfc4271_s006_1_1_001|rfc4271_s006_1_1_002,14|10|10,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0009,review_session_001,1,9,9,mechanism_route_leak_roles_otc,RoutingMechanism,BGP Roles and OTC Route Leak Prevention,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,rfc9234,cleaned/standards/rfc9234.md,parsed/standards/rfc9234.json,extract_mechanism_route_leak_roles_otc_01|extract_mechanism_route_leak_roles_otc_02|extract_mechanism_route_leak_roles_otc_03,rfc9234_s014_2_001|rfc9234_s018_8_001|rfc9234_s009_5_001,16|16|15,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
review_session_item_0010,review_session_001,1,10,10,mechanism_update_withdrawal,RoutingMechanism,BGP Update and Withdrawal Propagation,01_ready_without_manual_note,ready_without_manual_note,approved,approved,ready_to_apply,ready_to_apply,rfc4271|ripe_ris_raw_data|bgpstream_docs,cleaned/data_docs/bgpstream_docs.md|cleaned/data_docs/ripe_ris_raw_data.md|cleaned/standards/rfc4271.md,parsed/data_docs/bgpstream_docs.json|parsed/data_docs/ripe_ris_raw_data.json|parsed/standards/rfc4271.json,extract_mechanism_update_withdrawal_01|extract_mechanism_update_withdrawal_02|extract_mechanism_update_withdrawal_03,rfc4271_s010_3_1_001|rfc4271_s059_9_001|rfc4271_s069_9_2_1_1_001,12|11|8,review_inputs/human_review_decisions.csv,显式运行 scripts/apply_human_review_decisions.py 前，人工再次确认该决策。,False,scripts/build_human_review_session_queue.py
