audit_id,workbook_id,entity_id,entity_type,display_name,entity_file,current_review_status,review_decision,target_review_status,application_status,can_apply,blocking_reason,needs_llm,decision_source,decision_reviewer,decision_reviewed_at,decision_note,generated_by
decision_audit_paper_method_bgpshield,review_workbook_paper_method_bgpshield,paper_method_bgpshield,PaperMethod,BGPShield,entities/papers.jsonl,pending,needs_semantic_review,pending,blocked_by_llm,False,该决策需要语义流程或 LLM，按当前规则跳过。,True,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,BGPShield条目自带requires human paper review before approval声明，AS description构造细节和LLM embedding方法需要对照原论文核实,scripts/build_human_review_decision_audit.py
decision_audit_case_celerbridge_bgp_hijack,review_workbook_case_celerbridge_bgp_hijack,case_celerbridge_bgp_hijack,Case,CelerBridge BGP Hijack,entities/cases.jsonl,pending,needs_source,pending,manual_followup,False,人工标记需要补充来源，实体应保持当前状态。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,案例日期unknown，involved_ases和affected_prefixes为空，需补充权威来源的具体事件数据,scripts/build_human_review_decision_audit.py
decision_audit_case_facebook_2021_outage,review_workbook_case_facebook_2021_outage,case_facebook_2021_outage,Case,Facebook 2021 Outage,entities/cases.jsonl,pending,needs_source,pending,manual_followup,False,人工标记需要补充来源，实体应保持当前状态。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,事件日期正确但involved_ases和affected_prefixes为空数组，需补充AS32934和具体prefix数据,scripts/build_human_review_decision_audit.py
decision_audit_case_indosat_route_leak,review_workbook_case_indosat_route_leak,case_indosat_route_leak,Case,Indosat Route Leak,entities/cases.jsonl,pending,needs_source,pending,manual_followup,False,人工标记需要补充来源，实体应保持当前状态。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,案例日期为unknown，involved_ases和affected_prefixes为空，需要权威事件报告补充具体数据,scripts/build_human_review_decision_audit.py
decision_audit_case_pakistan_youtube_2008,review_workbook_case_pakistan_youtube_2008,case_pakistan_youtube_2008,Case,Pakistan Telecom / YouTube Hijack,entities/cases.jsonl,pending,needs_source,pending,manual_followup,False,人工标记需要补充来源，实体应保持当前状态。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,案例结构正确但involved_ases和affected_prefixes为空数组，需要补充权威来源的具体AS和prefix数据,scripts/build_human_review_decision_audit.py
decision_audit_anomaly_moas,review_workbook_anomaly_moas,anomaly_moas,AnomalyType,MOAS,entities/anomaly_types.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,MOAS异常定义准确，区分了良性/异常MOAS,scripts/build_human_review_decision_audit.py
decision_audit_anomaly_origin_change,review_workbook_anomaly_origin_change,anomaly_origin_change,AnomalyType,Origin Change,entities/anomaly_types.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Origin Change定义准确，强调需授权检查而非自动标记为攻击,scripts/build_human_review_decision_audit.py
decision_audit_anomaly_path_hijack,review_workbook_anomaly_path_hijack,anomaly_path_hijack,AnomalyType,Path Hijack,entities/anomaly_types.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Path Hijack定义准确，origin可能不变但路径语义改变的场景覆盖到位,scripts/build_human_review_decision_audit.py
decision_audit_anomaly_path_manipulation,review_workbook_anomaly_path_manipulation,anomaly_path_manipulation,AnomalyType,Path Manipulation,entities/anomaly_types.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Path Manipulation定义准确，false_positive含BGP confederation和route server,scripts/build_human_review_decision_audit.py
decision_audit_anomaly_prefix_hijack,review_workbook_anomaly_prefix_hijack,anomaly_prefix_hijack,AnomalyType,Prefix Hijack,entities/anomaly_types.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Prefix Hijack定义准确，required_evidence详尽，false_positive_checks覆盖关键场景,scripts/build_human_review_decision_audit.py
