field_check_id,session_id,session_order,within_session_order,global_review_order,field_order,entity_id,entity_type,display_name,entity_file,field_name,field_value_json,field_value_preview,verification_prompt,decision_input_path,review_decision,needs_llm,generated_by
field_check_field_aggregator_001_belongs_to,review_session_001,1,1,1,1,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,belongs_to,"[""BGP Update"", ""Path Attributes""]","[""BGP Update"", ""Path Attributes""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_field_aggregator_002_common_errors,review_session_001,1,1,1,2,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,common_errors,"[""Treating AGGREGATOR as the prefix origin AS.""]","[""Treating AGGREGATOR as the prefix origin AS.""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_field_aggregator_003_interpretation_rules,review_session_001,1,1,1,3,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,interpretation_rules,"[""Use with ATOMIC_AGGREGATE and AS_PATH context to interpret summarized routes.""]","[""Use with ATOMIC_AGGREGATE and AS_PATH context to interpret summarized routes.""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_field_aggregator_004_meaning,review_session_001,1,1,1,4,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,meaning,"""AGGREGATOR identifies the AS and BGP speaker that performed route aggregation when the attribute is present.""","""AGGREGATOR identifies the AS and BGP speaker that performed route aggregation when the attribute is present.""",核对该文字字段是否能在来源或摘录中找到直接支撑；不能直接确认时不要批准。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_field_aggregator_005_name,review_session_001,1,1,1,5,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,name,"""aggregator""","""aggregator""",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_field_aggregator_006_source_refs,review_session_001,1,1,1,6,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,source_refs,"[""rfc4271""]","[""rfc4271""]",核对 source_refs 是否都是当前实体字段的直接或必要来源；缺少直接证据时保持 pending 或标记 needs_source。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_field_aggregator_007_type,review_session_001,1,1,1,7,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,type,"""object""","""object""",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_field_aggregator_008_used_for,review_session_001,1,1,1,8,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,used_for,"[""aggregation provenance"", ""route summarization context""]","[""aggregation provenance"", ""route summarization context""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_001_category,review_session_001,1,2,2,1,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,category,"""RPKI path authorization""","""RPKI path authorization""",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_002_data_objects,review_session_001,1,2,2,2,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,data_objects,"[""ASPA object"", ""customer AS"", ""provider AS set"", ""ASPA validation result""]","[""ASPA object"", ""customer AS"", ""provider AS set"", ""ASPA validation result""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_003_description,review_session_001,1,2,2,3,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,description,"""Autonomous System Provider Authorization records allow an AS holder to authorize upstream provider ASNs and support BGP path verification and route-leak prevention work.""","""Autonomous System Provider Authorization records allow an AS holder to authorize upstream provider ASNs and support BGP path verification and route-leak prevention work.""",核对该文字字段是否能在来源或摘录中找到直接支撑；不能直接确认时不要批准。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_004_limitations,review_session_001,1,2,2,4,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,limitations,"[""ASPA deployment is partial, so unknown paths must be handled carefully."", ""Provider lists must be kept up to date or valid routes may be rejected."", ""ASPA does not replace raw BGP evidence or operator policy context.""]","[""ASPA deployment is partial, so unknown paths must be handled carefully."", ""Provider lists must be kept up to date or valid routes may be rejected."", ""ASPA does not replace raw BGP evidence or operator policy context.""]",核对该限制或误报边界是否被来源直接支持；需要归纳判断时标记 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_005_name,review_session_001,1,2,2,5,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,name,"""ASPA""","""ASPA""",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_006_related_tools,review_session_001,1,2,2,6,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,related_tools,"[""RPKI validators"", ""rpki-rtr""]","[""RPKI validators"", ""rpki-rtr""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_007_source_refs,review_session_001,1,2,2,7,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,source_refs,"[""arin_aspa_doc"", ""ripe_aspa_doc"", ""rfc6480""]","[""arin_aspa_doc"", ""ripe_aspa_doc"", ""rfc6480""]",核对 source_refs 是否都是当前实体字段的直接或必要来源；缺少直接证据时保持 pending 或标记 needs_source。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_008_suitable_for,review_session_001,1,2,2,8,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,suitable_for,"[""route leak prevention"", ""BGP path plausibility checks"", ""provider authorization checks"", ""ASPA-aware route validation""]","[""route leak prevention"", ""BGP path plausibility checks"", ""provider authorization checks"", ""ASPA-aware route validation""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_datasource_aspa_009_time_granularity,review_session_001,1,2,2,9,datasource_aspa,DataSource,ASPA,entities/data_sources.jsonl,time_granularity,"{""validation"": ""depends on RPKI repository and validator refresh""}","{""validation"": ""depends on RPKI repository and validator refresh""}",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_mechanism_aspa_path_verification_001_definition,review_session_001,1,3,3,1,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,entities/routing_mechanisms.jsonl,definition,"""ASPA-based path verification uses RPKI ASPA objects that authorize upstream providers to evaluate whether AS paths are plausible with respect to provider relationships.""","""ASPA-based path verification uses RPKI ASPA objects that authorize upstream providers to evaluate whether AS paths are plausible with respect to provider relationships.""",核对该文字字段是否能在来源或摘录中找到直接支撑；不能直接确认时不要批准。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_mechanism_aspa_path_verification_002_depends_on,review_session_001,1,3,3,2,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,entities/routing_mechanisms.jsonl,depends_on,"[""ASPA object"", ""RPKI"", ""Provider AS Set"", ""AS_PATH""]","[""ASPA object"", ""RPKI"", ""Provider AS Set"", ""AS_PATH""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_mechanism_aspa_path_verification_003_evidence,review_session_001,1,3,3,3,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,entities/routing_mechanisms.jsonl,evidence,"[""ASPA objects"", ""AS_PATH"", ""provider authorization set""]","[""ASPA objects"", ""AS_PATH"", ""provider authorization set""]",核对该字段值是否被来源路径和摘录直接支持；需要解释或归纳时记录为 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
field_check_mechanism_aspa_path_verification_004_limitations,review_session_001,1,3,3,4,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,entities/routing_mechanisms.jsonl,limitations,"[""Partial deployment creates unknown states; provider lists must be current to avoid rejecting legitimate paths.""]","[""Partial deployment creates unknown states; provider lists must be current to avoid rejecting legitimate paths.""]",核对该限制或误报边界是否被来源直接支持；需要归纳判断时标记 needs_semantic_review。,review_inputs/human_review_decisions.csv,unreviewed,False,scripts/build_human_review_field_checklist.py
