extract_id,entity_id,entity_type,display_name,review_order,review_batch,review_bucket,chunk_rank,chunk_id,chunk_file,doc_id,source_ref,chunk_type,section_path,matched_terms,match_score,excerpt,excerpt_char_count,needs_llm,llm_skip_reason,generated_by
extract_field_aggregator_01,field_aggregator,DataField,aggregator,1,01_ready_without_manual_note,ready_without_manual_note,1,rfc4271_s026_4_002,chunks/standard_chunks.jsonl,rfc4271,raw/standards/rfc4271.txt#4,standard_section,Optional non-transitive.,aggregator|as_path|atomic_aggregate|attribute|attributes|context|origin|path|present|rfc4271|speaker|update,12,"New, transitive optional attributes MAY be attached to the path by the originator or by any other BGP speaker in the path. If they are not attached by the originator, the Partial bit in the Attribute Flags octet is set to 1. The rules for attaching new non-transitive optional attributes will depend on the nature of the specific attribute. The documentation of each new non-transitive optional attribute will be expected to include such rules (the description of the MULTI_EXIT_DISC attribute gives an example). All optional attributes (both transitive and non-transitive), MAY be updated (if appropriate) by BGP speakers in the path. The sender of...",652,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_field_aggregator_02,field_aggregator,DataField,aggregator,1,01_ready_without_manual_note,ready_without_manual_note,2,rfc4271_s076_10_003,chunks/standard_chunks.jsonl,rfc4271,raw/standards/rfc4271.txt#10,standard_section,BGP Timers,aggregation|aggregator|as_path|atomic_aggregate|attribute|path|prefix|rfc4271|routes|speaker|update|use,12,"The relationship between the immediate next hop, and the next hop as specified in the NEXT_HOP path attribute. Clarification of the tie-breaking procedures. Clarification of the frequency of route advertisements. Optional Parameter Type 1 (Authentication Information) has been deprecated. UPDATE Message Error subcode 7 (AS Routing Loop) has been deprecated. OPEN Message Error subcode 5 (Authentication Failure) has been deprecated. Use of the Marker field for authentication has been deprecated. Implementations MUST support TCP MD5 [RFC2385] for authentication. Clarification of BGP FSM. Rekhter, et al. Standards Track [Page 92] RFC 4271 BGP-4 Ja...",653,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_field_aggregator_03,field_aggregator,DataField,aggregator,1,01_ready_without_manual_note,ready_without_manual_note,3,rfc4271_s021_2_002,chunks/standard_chunks.jsonl,rfc4271,raw/standards/rfc4271.txt#2,standard_section,AS_SEQUENCE: ordered set of ASes a route in,aggregator|attribute|attributes|path|prefix|rfc4271|routes|speaker|update|use,10,"AGGREGATOR is an optional transitive attribute of length 6. The attribute contains the last AS number that formed the aggregate route (encoded as 2 octets), followed by the IP address of the BGP speaker that formed the aggregate route (encoded as 4 octets). This SHOULD be the same address as the one used for the BGP Identifier of the speaker. Usage of this attribute is defined in 5.1.7. Rekhter, et al. Standards Track [Page 19] RFC 4271 BGP-4 January 2006 Network Layer Reachability Information: This variable length field contains a list of IP address prefixes. The length, in octets, of the Network Layer Reachability Information is not encoded...",653,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_field_aggregator_04,field_aggregator,DataField,aggregator,1,01_ready_without_manual_note,ready_without_manual_note,4,rfc4271_s006_1_1_002,chunks/standard_chunks.jsonl,rfc4271,raw/standards/rfc4271.txt#1.1,standard_section,Definition of Commonly Used Terms,attribute|attributes|path|prefix|rfc4271|routes|speaker|update|use,9,"Feasible route An advertised route that is available for use by the recipient. IBGP Internal BGP (BGP connection between internal peers). Internal peer Peer that is in the same Autonomous System as the local system. IGP Interior Gateway Protocol - a routing protocol used to exchange routing information among routers within a single Autonomous System. Loc-RIB The Loc-RIB contains the routes that have been selected by the local BGP speaker's Decision Process. NLRI Network Layer Reachability Information. Route A unit of information that pairs a set of destinations with the attributes of a path to those destinations. The set of Rekhter, et al. St...",653,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_field_aggregator_05,field_aggregator,DataField,aggregator,1,01_ready_without_manual_note,ready_without_manual_note,5,rfc4271_s010_3_1_001,chunks/standard_chunks.jsonl,rfc4271,raw/standards/rfc4271.txt#3.1,standard_section,Routes: Advertisement and Storage,attribute|attributes|path|prefix|rfc4271|routes|speaker|update|use,9,"For the purpose of this protocol, a route is defined as a unit of information that pairs a set of destinations with the attributes of a path to those destinations. The set of destinations are systems whose IP addresses are contained in one IP address prefix that is carried in the Network Layer Reachability Information (NLRI) field of an UPDATE message, and the path is the information reported in the path attributes field of the same UPDATE message. Routes are advertised between BGP speakers in UPDATE messages. Multiple routes that have the same path attributes can be advertised in a single UPDATE message by including multiple prefixes in the...",652,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_field_aggregator_06,field_aggregator,DataField,aggregator,1,01_ready_without_manual_note,ready_without_manual_note,6,rfc4271_s015_4_3_002,chunks/standard_chunks.jsonl,rfc4271,raw/standards/rfc4271.txt#4.3,standard_section,UPDATE Message Format,attribute|attributes|path|prefix|present|rfc4271|routes|update|use,9,"A value of 0 indicates that no routes are being withdrawn from service, and that the WITHDRAWN ROUTES field is not present in this UPDATE message. Withdrawn Routes: This is a variable-length field that contains a list of IP address prefixes for the routes that are being withdrawn from service. Each IP address prefix is encoded as a 2-tuple of the form <length, prefix>, whose fields are described below: +---------------------------+ | Length (1 octet) | +---------------------------+ | Prefix (variable) | +---------------------------+ Rekhter, et al. Standards Track [Page 15] RFC 4271 BGP-4 January 2006 The use and the meaning of these fields a...",653,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_datasource_aspa_01,datasource_aspa,DataSource,ASPA,2,01_ready_without_manual_note,ready_without_manual_note,1,arin_aspa_doc_s001_full_002,chunks/bgp_chunks.jsonl,arin_aspa_doc,raw/data_docs/arin_aspa_doc.html#full,data_source_documentation,Autonomous System Provider Authorizations (ASPAs) - American Registry for Internet Numbers,allow|arin_aspa_doc|aspa|authorization|authorize|autonomous|customer|holder|must|object|provider|rpki,13,...mmunity Blog Pay Now Feedback Home IP Addresses & ASNs Resource Management Services Resource Public Key Infrastructure (RPKI) Autonomous System Provider Authorizations (ASPAs) Resource Public Key Infrastructure (RPKI) Autonomous System Provider Authorizations (ASPAs) On this page Skip to main text Scroll for more Autonomous System Provider Authorization (ASPA) Overview Creating an ASPA in ARIN Online Viewing Your ASPAs Using the API Using ARIN Online Verifying Your ASPAs Are Active Modifying an ASPA Using the API Using ARIN Online Removing an ASPA Using the API Using ARIN Online Jump to related content Autonomous System Provider Authorization...,656,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_datasource_aspa_02,datasource_aspa,DataSource,ASPA,2,01_ready_without_manual_note,ready_without_manual_note,2,arin_aspa_doc_s001_full_001,chunks/bgp_chunks.jsonl,arin_aspa_doc,raw/data_docs/arin_aspa_doc.html#full,data_source_documentation,Autonomous System Provider Authorizations (ASPAs) - American Registry for Internet Numbers,arin_aspa_doc|aspa|authorization|autonomous|provider|records|rpki|set|system,9,"Autonomous System Provider Authorizations (ASPAs) - American Registry for Internet Numbers Skip to main content Your IP address is Log in Log in User Dashboard Settings Profile and security information Log Out Search all requests subject to terms of use Search IP Addresses & ASNs Get Started ARIN Account Management Requesting IP Addresses or ASNs IPv6 Information IPv4 Addressing Options Autonomous System Numbers Legacy Resources at ARIN Fee & Billing Information Fee Schedule Premier Support Plan (PSP) Make a Payment How Billing Works Resource Revocation, Returns, and Reinstatement IP & ASN Registry Services Managing Resource Records Transferr...",653,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_datasource_aspa_03,datasource_aspa,DataSource,ASPA,2,01_ready_without_manual_note,ready_without_manual_note,3,arin_aspa_doc_s001_full_004,chunks/bgp_chunks.jsonl,arin_aspa_doc,raw/data_docs/arin_aspa_doc.html#full,data_source_documentation,Autonomous System Provider Authorizations (ASPAs) - American Registry for Internet Numbers,arin_aspa_doc|aspa|authorization|autonomous|object|provider|rpki|set|system,9,"...n to ARIN Online and select Routing Security from the navigation menu. In the ‘Your Organization’ window, select Manage RPKI to view those created for the organization. Select the ASPA object you wish to modify. In the ‘Autonomous System Provider Authorizations (ASPAs)’ window, select Modify. Make changes to the ‘Set of Provier ASes,’ then select submit. Changes will take effect in the RPKI database immediately and will be reflected in the public RPKI repository within 24 hours. Removing an ASPA You can delete your ASPAs using one of the following methods: Using the API Visit ARIN’s RPKI RESTful API User Guide to delete an ASPA (note that you...",656,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
extract_datasource_aspa_04,datasource_aspa,DataSource,ASPA,2,01_ready_without_manual_note,ready_without_manual_note,4,rfc6480_s002_1_001,chunks/standard_chunks.jsonl,rfc6480,raw/standards/rfc6480.txt#1,standard_section,Introduction,authorization|authorize|autonomous|holder|object|rfc6480|rpki|set|system,9,"...RFC4271] for the Internet. The architecture encompasses three principle elements: o Resource Public Key Infrastructure (RPKI) o digitally signed routing objects to support routing security o a distributed repository system to hold the PKI objects and the signed routing objects The architecture described by this document enables an entity to verifiably assert that it is the legitimate holder of a set of IP addresses or a set of Autonomous System (AS) numbers. As an initial application of this architecture, the document describes how a legitimate holder of IP address space can explicitly and verifiably authorize one or more ASes to originate ro...",656,False,不需要 LLM；本记录只做确定性 chunk 摘录和词项匹配，不判断证据充分性。,scripts/build_human_review_evidence_extracts.py
