term_id,entity_id,entity_type,term,aliases,definition,category,source_refs,review_status,generated_by
glossary_field_aggregator,field_aggregator,DataField,aggregator,,AGGREGATOR identifies the AS and BGP speaker that performed route aggregation when the attribute is present.,object,rfc4271,approved,scripts/build_glossary.py
glossary_concept_announcement,concept_announcement,BGPConcept,Announcement,Route announcement,An announcement is BGP information indicating reachability for a prefix through a path and attributes.,BGP消息与数据,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_evidence_moas,evidence_moas,EvidenceTemplate,anomaly_moas,,prefix；origin_as_set；historical_origin_as_set；ownership_or_authorization_evidence；collector_observations,EvidenceTemplate,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_evidence_origin_change,evidence_origin_change,EvidenceTemplate,anomaly_origin_change,,target_prefix；previous_origin_as；new_origin_as；time_window；collector_peer_observations；authorization_check,EvidenceTemplate,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_evidence_path_hijack,evidence_path_hijack,EvidenceTemplate,anomaly_path_hijack,,target_prefix；historical_as_path；event_as_path；changed_path_segment；collector_observations；path_authority_or_policy_evidence,EvidenceTemplate,rfc4271|bgpshield_2025|context_2026,approved,scripts/build_glossary.py
glossary_evidence_path_manipulation,evidence_path_manipulation,EvidenceTemplate,anomaly_path_manipulation,,historical_as_path；event_as_path；changed_segment；collector_coverage；relationship_or_policy_context,EvidenceTemplate,rfc4271|bgpshield_2025|context_2026,approved,scripts/build_glossary.py
glossary_evidence_prefix_hijack,evidence_prefix_hijack,EvidenceTemplate,anomaly_prefix_hijack,,target_prefix；historical_origin_as；event_origin_as；before_event_as_path；after_event_as_path；collector_peer_observations；prefix_ownership_evidence,EvidenceTemplate,rfc6811|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_evidence_prefix_outage,evidence_prefix_outage,EvidenceTemplate,anomaly_prefix_outage,,target_prefix；reachable_vp_set_before；reachable_vp_set_during；withdrawal_updates；as_path_disappearance；start_time；end_time；collector_coverage,EvidenceTemplate,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_evidence_route_leak,evidence_route_leak,EvidenceTemplate,anomaly_route_leak,,before_event_as_path；after_event_as_path；as_relationship_sequence；suspected_leaker_as；valley_free_violation；affected_prefixes；collector_observations,EvidenceTemplate,rfc7908|rfc9234|beam_2024|context_2026,approved,scripts/build_glossary.py
glossary_evidence_subprefix_hijack,evidence_subprefix_hijack,EvidenceTemplate,anomaly_subprefix_hijack,,victim_prefix；more_specific_prefix；historical_origin_as_of_parent_prefix；event_origin_as_of_subprefix；before_event_paths；after_event_paths；collector_coverage,EvidenceTemplate,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_concept_as,concept_as,BGPConcept,AS,Autonomous System,An AS is an independently managed network or group of networks that participates in inter-domain routing under a common routing policy.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_concept_as_relationship,concept_as_relationship,BGPConcept,AS Relationship,AS business relationship,AS relationship describes inferred or known business and routing relationships such as provider-customer and peer-peer links between ASes.,AS关系与路由策略,caida_as_relationships|rfc7908|context_2026,approved,scripts/build_glossary.py
glossary_fp_as_relationship_error,fp_as_relationship_error,FalsePositivePattern,AS relationship inference error,,"Route leak conclusions can be wrong when AS relationship data is inaccurate, outdated, or too coarse for prefix/location-specific policy.",FalsePositivePattern,caida_as_relationships|rfc7908|context_2026,approved,scripts/build_glossary.py
glossary_concept_as_path,concept_as_path,BGPConcept,AS_PATH,AS path|AS-level path,AS_PATH is the ordered path attribute listing ASNs that a BGP route announcement has traversed.,路径与属性,rfc4271|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_field_as_path,field_as_path,DataField,as_path,,Ordered sequence of ASNs in the route announcement.,list[int],rfc4271|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_as_path_prepending,mechanism_as_path_prepending,RoutingMechanism,AS_PATH Prepending,,AS_PATH prepending repeats an ASN in the path to influence route selection by making a path appear longer.,RoutingMechanism,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_field_as_relationship_sequence,field_as_relationship_sequence,DataField,as_relationship_sequence,,Sequence of provider-customer or peer-peer relationships along an AS_PATH.,list[string],rfc7908|caida_as_relationships|context_2026,approved,scripts/build_glossary.py
glossary_concept_asn,concept_asn,BGPConcept,ASN,AS number,An ASN is the numeric identifier assigned to an autonomous system and used in BGP paths and policy.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_datasource_aspa,datasource_aspa,DataSource,ASPA,,Autonomous System Provider Authorization records allow an AS holder to authorize upstream provider ASNs and support BGP path verification and route-leak prevention work.,RPKI path authorization,arin_aspa_doc|ripe_aspa_doc|rfc6480,approved,scripts/build_glossary.py
glossary_mechanism_aspa_path_verification,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,,ASPA-based path verification uses RPKI ASPA objects that authorize upstream providers to evaluate whether AS paths are plausible with respect to provider relationships.,RoutingMechanism,arin_aspa_doc|ripe_aspa_doc,approved,scripts/build_glossary.py
glossary_field_asrank_rank,field_asrank_rank,DataField,asrank_rank,,ASRank rank is a topology-derived ranking value for an AS in CAIDA ASRank outputs.,integer,caida_asrank_api,approved,scripts/build_glossary.py
glossary_field_asrank_relationship,field_asrank_relationship,DataField,asrank_relationship,,Relationship field describes inferred AS link relationship in ASRank or CAIDA relationship data.,"enum(peer,customer,provider,sibling,unknown)",caida_asrank_api|caida_as_relationships,approved,scripts/build_glossary.py
glossary_field_atomic_aggregate,field_atomic_aggregate,DataField,atomic_aggregate,,ATOMIC_AGGREGATE indicates that route aggregation occurred and some AS path detail may have been lost.,boolean_attribute,rfc4271,approved,scripts/build_glossary.py
glossary_paper_method_bear,paper_method_bear,PaperMethod,BEAR: BGP Event Analysis and Reporting,,BGP anomaly event explanation,PaperMethod,bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_before_after_path_comparison,mechanism_before_after_path_comparison,RoutingMechanism,Before-after AS path comparison,,"A BGP event can be explained by comparing historical, pre-event, and post-event AS paths for affected prefixes.",RoutingMechanism,bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_concept_bgp,concept_bgp,BGPConcept,BGP,Border Gateway Protocol,BGP is the inter-domain routing protocol used by autonomous systems to exchange reachability information for IP prefixes.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_bgp_decision_process,mechanism_bgp_decision_process,RoutingMechanism,BGP Decision Process,,The BGP decision process selects routes from Adj-RIBs-In into the Loc-RIB and organizes selected routes for advertisement through Adj-RIBs-Out.,RoutingMechanism,rfc4271,approved,scripts/build_glossary.py
glossary_mechanism_rib_model,mechanism_rib_model,RoutingMechanism,BGP RIB Model,,"BGP conceptually separates learned routes, selected local routes, and advertised routes into Adj-RIBs-In, Loc-RIB, and Adj-RIBs-Out.",RoutingMechanism,rfc4271|ripe_ris_raw_data|routeviews_archive_index,approved,scripts/build_glossary.py
glossary_mechanism_route_leak_roles_otc,mechanism_route_leak_roles_otc,RoutingMechanism,BGP Roles and OTC Route Leak Prevention,,RFC9234 uses configured BGP Roles and the Only to Customer path attribute to prevent and detect certain route leaks during ingress and egress processing.,RoutingMechanism,rfc9234,approved,scripts/build_glossary.py
glossary_concept_bgp_session,concept_bgp_session,BGPConcept,BGP Session,BGP peering session,A BGP session is a peering relationship between BGP speakers over which routing information is exchanged.,BGP基础,rfc4271|ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
