handoff_id,task_id,task_order,task_type,handoff_status,title,primary_input,primary_input_exists,secondary_input,secondary_input_exists,expected_manual_output,dry_run_command,write_command,verification_command,can_write,requires_human_decision,needs_llm,skip_note,generated_by
handoff_task_session_review_session_001,task_session_review_session_001,1,review_session,ready_for_human,复核 review_session_001,reports/human_review_session_guides/review_session_001.md,True,review_inputs/human_review_session_decision_templates/review_session_001_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_001_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_001,python3 scripts/import_human_review_session_decisions.py --session-id review_session_001 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_002,task_session_review_session_002,2,review_session,ready_for_human,复核 review_session_002,reports/human_review_session_guides/review_session_002.md,True,review_inputs/human_review_session_decision_templates/review_session_002_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_002_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_002,python3 scripts/import_human_review_session_decisions.py --session-id review_session_002 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_003,task_session_review_session_003,3,review_session,ready_for_human,复核 review_session_003,reports/human_review_session_guides/review_session_003.md,True,review_inputs/human_review_session_decision_templates/review_session_003_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_003_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_003,python3 scripts/import_human_review_session_decisions.py --session-id review_session_003 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_004,task_session_review_session_004,4,review_session,ready_for_human,复核 review_session_004,reports/human_review_session_guides/review_session_004.md,True,review_inputs/human_review_session_decision_templates/review_session_004_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_004_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_004,python3 scripts/import_human_review_session_decisions.py --session-id review_session_004 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_005,task_session_review_session_005,5,review_session,ready_for_human,复核 review_session_005,reports/human_review_session_guides/review_session_005.md,True,review_inputs/human_review_session_decision_templates/review_session_005_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_005_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_005,python3 scripts/import_human_review_session_decisions.py --session-id review_session_005 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_006,task_session_review_session_006,6,review_session,ready_for_human,复核 review_session_006,reports/human_review_session_guides/review_session_006.md,True,review_inputs/human_review_session_decision_templates/review_session_006_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_006_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_006,python3 scripts/import_human_review_session_decisions.py --session-id review_session_006 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_007,task_session_review_session_007,7,review_session,ready_for_human,复核 review_session_007,reports/human_review_session_guides/review_session_007.md,True,review_inputs/human_review_session_decision_templates/review_session_007_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_007_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_007,python3 scripts/import_human_review_session_decisions.py --session-id review_session_007 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_008,task_session_review_session_008,8,review_session,ready_for_human,复核 review_session_008,reports/human_review_session_guides/review_session_008.md,True,review_inputs/human_review_session_decision_templates/review_session_008_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_008_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_008,python3 scripts/import_human_review_session_decisions.py --session-id review_session_008 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_009,task_session_review_session_009,9,review_session,ready_for_human,复核 review_session_009,reports/human_review_session_guides/review_session_009.md,True,review_inputs/human_review_session_decision_templates/review_session_009_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_009_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_009,python3 scripts/import_human_review_session_decisions.py --session-id review_session_009 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_010,task_session_review_session_010,10,review_session,ready_for_human,复核 review_session_010,reports/human_review_session_guides/review_session_010.md,True,review_inputs/human_review_session_decision_templates/review_session_010_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_010_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_010,python3 scripts/import_human_review_session_decisions.py --session-id review_session_010 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
